"","pr","tas","tasmax","tasmin","orog","sftlf","huss"
"CMIP5_CSIRO-Mk3-6-0_r7i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_CSIRO-Mk3-6-0_r8i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_CSIRO-Mk3-6-0_r9i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_EC-EARTH_r11i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r12i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r13i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r14i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r5i1p1_historical",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r6i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r7i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r8i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_EC-EARTH_r9i1p1_historical",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CMIP5_FGOALS-g2_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_FGOALS-g2_r3i1p1_historical",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GFDL-CM3_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GFDL-CM3_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-CM3_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"CMIP5_GFDL-CM3_r4i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GFDL-CM3_r5i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GFDL-ESM2G_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GFDL-ESM2M_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GISS-E2-R_r6i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GISS-E2-R_r6i1p2_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_GISS-E2-R_r6i1p3_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r10i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r4i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r5i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r6i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r7i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r8i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadCM3_r9i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-CC_r1i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-CC_r2i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"CMIP5_HadGEM2-CC_r3i1p1_historical",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
