#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1975-11",4.711,7.877,1.79,0.493,NA,0.511,2.597,1.705,2.492
"1975-12",3.309,8.119,1.408,1.522,NA,0.469,3.275,1.904,2.134
"1976-01",2.476,6.282,2.153,1.388,NA,0.587,3.165,1.833,2.594
"1976-02",2.912,6.311,1.625,2.47,NA,0.891,2.08,2.059,2.599
"1976-03",4.648,7.482,2.345,1.931,NA,0.178,2.061,2.063,2.536
"1976-04",7.276,5.033,2.691,1.795,NA,1.309,3.041,1.69,3.098
"1976-05",8.486,3.259,2.046,0.998,NA,1.918,2.518,2.231,3.297
"1976-06",9.314,4.003,1.145,0.611,NA,3.563,2.273,3.084,3.56
"1976-07",7.095,3.793,0.928,0.276,NA,2.64,1.325,2.055,3.071
"1976-08",6.901,4.274,0.628,0.453,NA,1.893,0.953,2.248,2.847
"1976-09",5.614,4.363,0.084,0.347,NA,1.565,0.783,1.795,2.783
"1976-10",8.485,5.517,0.15,0.173,NA,1.027,1.867,1.764,2.447
"1976-11",8.609,7.199,1.66,0.434,NA,0.945,4.009,2.032,2.85
"1976-12",4.842,4.905,2.316,0.831,NA,0.383,2.578,1.662,2.323
"1977-01",3.466,7.275,2.461,1.732,NA,0.512,1.69,2.123,2.27
"1977-02",3.519,7.023,2.402,1.487,NA,0.409,2.739,2.669,2.73
"1977-03",4.873,6.935,2.618,1.637,NA,0.666,3.384,2.17,2.524
"1977-04",5.394,6.04,3.711,1.956,NA,1.658,2.37,2.521,2.774
"1977-05",9.247,3.615,4.634,1.159,NA,1.278,2.867,2.474,3.088
"1977-06",8.332,3.291,3.997,0.802,NA,1.416,1.53,2.349,3.025
"1977-07",5.749,3.23,1.206,0.822,NA,2.01,1.221,2.69,2.766
"1977-08",6.315,3.791,1.029,0.447,NA,2.376,1.013,2.564,2.81
"1977-09",7.806,4.138,0.331,0.351,NA,1.146,2.017,2.206,2.682
"1977-10",12.271,4.584,0.312,0.231,NA,0.79,1.407,1.75,2.515
"1977-11",7.86,5.572,0.798,0.321,NA,0.601,1.875,1.68,2.644
"1977-12",4.814,4.787,3.284,0.973,NA,0.534,2.578,1.616,2.437
"1978-01",2.418,4.795,2.813,1.869,NA,0.294,1.832,2.23,2.025
"1978-02",2.728,5.968,1.747,1.619,NA,0.346,2.348,2.407,2.314
"1978-03",4.684,6.518,2.546,3.605,NA,0.757,2.223,2.319,2.563
"1978-04",5.719,6.21,1.616,2.587,NA,1.384,2.004,2.762,2.733
"1978-05",6.703,3.713,2.944,2.97,NA,1.851,2.186,3.009,2.943
"1978-06",8.055,2.434,7.014,1.281,NA,2.209,1.611,2.712,3.081
"1978-07",10.528,3.394,4.927,0.793,NA,1.935,1.365,2.378,3.1
"1978-08",7.917,3.489,1.831,0.572,NA,1.672,1.042,2.11,2.625
"1978-09",6.931,4.156,1.363,0.271,NA,1.742,1.126,1.878,2.59
"1978-10",6.743,3.917,0.722,0.266,NA,0.969,1.913,2.292,2.797
"1978-11",9.352,4.059,1.203,0.863,NA,0.855,3.205,1.88,3.008
"1978-12",6.208,5.843,3.156,0.769,NA,0.577,2.75,1.843,2.518
"1979-01",3.59,6.823,3.682,1.7,NA,0.2,1.589,1.719,2.175
"1979-02",3.57,7.532,3.227,1.225,NA,0.163,2.616,1.903,2.296
"1979-03",3.558,5.54,3.728,1.847,NA,0.665,1.419,2.508,2.387
"1979-04",4.932,5.97,2.148,1.552,NA,1.323,2.178,2.175,2.745
"1979-05",8.227,2.924,4.455,1.693,NA,1.865,2.773,2.217,2.937
"1979-06",8.097,2.463,5.57,1.262,NA,2.237,1.546,2.602,3.1
"1979-07",9.158,3.436,3.111,0.598,NA,2.429,1.097,2.55,2.914
"1979-08",7.88,4.165,3.229,0.253,NA,2.105,1.886,2.459,2.939
"1979-09",8.075,4.706,3.142,0.35,NA,1.098,2.061,1.77,2.644
"1979-10",6.642,4.793,1.342,0.243,NA,0.642,2.517,1.705,2.36
"1979-11",6.92,6.381,2.007,0.436,NA,0.364,2.421,1.256,2.314
"1979-12",5.762,6.846,3.158,1.017,NA,0.517,3.348,1.539,2.485
"1980-01",4.829,6.942,2.184,1.034,NA,0.215,2.839,1.665,2.291
"1980-02",4.905,5.992,3.069,0.587,NA,0.528,2.902,1.905,2.658
"1980-03",5.179,6.831,1.676,1.532,NA,1.228,3.433,2.463,2.636
"1980-04",5.082,6.669,2.921,2.28,NA,1.696,2.406,2.904,2.841
"1980-05",7.23,3.032,4.11,1.502,NA,1.802,1.597,2.627,3.26
"1980-06",10.043,3.05,1.82,0.847,NA,2.434,1.606,2.932,3.544
"1980-07",8.074,3.519,1.222,0.604,NA,1.961,1.462,2.494,3.137
"1980-08",8.13,4.232,0.455,0.452,NA,1.715,1.344,2.26,2.718
"1980-09",6.895,4.115,0.21,0.28,NA,1.233,1.516,1.904,2.559
"1980-10",7.014,5.714,0.204,0.351,NA,1.107,2.307,1.674,2.873
"1980-11",8.777,6.963,1.634,0.327,NA,0.688,2.823,1.408,2.651
"1980-12",4.801,5.555,2.251,0.474,NA,0.654,3.658,1.917,2.541
"1981-01",2.966,4.727,3.647,1.033,NA,0.565,2.737,2.082,2.289
"1981-02",1.905,8.124,2.356,2.458,NA,0.83,2.153,2.525,2.123
"1981-03",4.034,7.606,3.019,1.899,NA,0.682,1.839,1.753,2.506
"1981-04",6.04,6.925,2.15,1.573,NA,1.856,2.179,1.963,2.672
"1981-05",7.886,3.217,4.771,2.205,NA,1.823,1.773,2.544,3.029
"1981-06",9.358,3.447,4.54,1.459,NA,2.624,1.66,2.601,3.059
"1981-07",7.392,3.173,3.445,0.439,NA,1.615,1.106,2.319,2.657
"1981-08",8.605,4.017,2.969,0.428,NA,1.786,0.798,1.873,2.835
"1981-09",6.578,3.735,1.712,0.272,NA,1.131,1.915,1.672,2.256
"1981-10",6.149,4.277,2.252,0.218,NA,0.622,2.433,1.612,2.639
"1981-11",7.532,6.017,1.345,0.477,NA,0.658,2.699,1.931,2.725
"1981-12",5.562,5.798,3.304,0.991,NA,0.599,3.96,2.252,2.667
"1982-01",4.071,6.268,3.084,0.631,NA,0.554,1.891,1.949,2.36
"1982-02",3.196,7.34,1.948,2.021,NA,0.327,3.19,1.774,2.335
"1982-03",3.473,7.697,2.821,1.991,NA,0.558,2.575,2.313,2.521
"1982-04",4.221,4.453,2.397,2.873,NA,1.101,3.762,2.688,2.568
"1982-05",6.901,3.038,1.885,3.835,NA,2.119,2.22,2.327,2.617
"1982-06",8.565,2.535,3.828,1.602,NA,1.539,3.231,2.044,2.796
"1982-07",6.74,3.26,5.108,0.827,NA,2.267,1.679,2.27,2.787
"1982-08",5.916,3.484,4.642,0.397,NA,2.227,0.976,2.433,2.91
"1982-09",7.564,4.565,1.93,0.355,NA,1.53,3.046,2.724,2.965
"1982-10",7.834,5.812,1.293,0.346,NA,0.709,2.491,1.787,2.553
"1982-11",4.448,6.553,1.272,1.285,NA,0.516,1.9,1.724,2.321
"1982-12",4.171,6.739,2.606,2.057,NA,0.38,3.886,1.767,2.395
"1983-01",4.992,5.693,1.594,2.028,NA,0.482,1.803,1.814,2.182
"1983-02",2.921,6.091,2.877,1.617,NA,0.487,2.87,1.82,2.445
"1983-03",3.722,7.286,3.567,2.143,NA,0.659,2.958,2.304,2.663
"1983-04",5.508,5.421,3.464,1.874,NA,1.337,2.579,2.109,2.819
"1983-05",5.732,3.181,6.02,1.76,NA,1.766,3.456,2.474,3.269
"1983-06",7.105,3.091,3.88,1.073,NA,3.534,1.387,2.858,3.339
"1983-07",6.895,3.561,2.417,0.823,NA,2.061,1.816,2.333,2.853
"1983-08",6.535,3.5,0.737,0.469,NA,1.555,2.1,2.072,2.69
"1983-09",7.321,4.17,0.205,0.365,NA,1.079,1.858,1.974,2.682
"1983-10",8.477,5.915,0.676,0.414,NA,0.637,2.179,1.836,2.683
"1983-11",4.786,6.339,1.617,0.559,NA,0.764,2.906,1.645,2.675
"1983-12",2.997,6.049,3.125,0.328,NA,0.747,2.004,1.801,2.362
"1984-01",2.449,6.045,2.28,1.128,NA,0.692,3.132,2.012,2.277
"1984-02",2.347,6.645,3.061,1.708,NA,0.619,2.322,2.383,2.494
"1984-03",3.128,4.965,2.248,1.552,NA,0.71,2.502,2.425,2.591
"1984-04",3.471,4.704,2.592,1.993,NA,0.847,3.03,2.309,2.705
"1984-05",7.324,3.356,2.536,1.562,NA,1.601,2.48,2.489,2.677
"1984-06",7.538,3.089,5.061,0.858,NA,2.371,2.216,2.247,3.001
"1984-07",6.544,3.035,2.394,0.989,NA,2.476,1.228,2.477,2.94
"1984-08",6.002,3.698,0.792,0.426,NA,2.257,1.682,2.379,3.021
"1984-09",6.922,4.166,0.129,0.331,NA,1.096,1.495,1.915,2.611
"1984-10",6.887,5.376,0.233,0.304,NA,0.598,2.242,1.751,2.334
"1984-11",6.711,5.616,1.635,0.636,NA,0.283,1.852,1.553,2.379
"1984-12",5.054,5.13,4.476,0.986,NA,0.651,2.925,1.59,2.624
"1985-01",3.288,5.065,3.328,1.245,NA,0.655,2.657,2.207,2.271
"1985-02",1.807,6.536,1.601,2.319,NA,0.383,2.523,2.024,2.102
"1985-03",3.294,6.757,2.445,1.573,NA,0.669,3.024,2.478,2.369
"1985-04",4.083,6.213,2.379,3.734,NA,0.991,2.225,2.493,2.589
"1985-05",6.11,2.835,3.558,2.546,NA,1.923,2.365,2.159,2.669
"1985-06",6.452,2.986,3.89,0.678,NA,2.066,1.555,2.201,2.637
"1985-07",8.338,3.714,2.411,0.597,NA,1.571,1.562,2.517,2.621
"1985-08",7.039,3.445,1.585,0.506,NA,1.295,1.128,1.765,2.462
"1985-09",9.061,3.75,1.144,0.259,NA,1.237,1.819,1.954,2.6
"1985-10",7.487,3.63,0.268,0.283,NA,0.746,1.778,1.885,2.62
"1985-11",7.55,3.115,2.025,0.265,NA,0.237,2.464,1.295,2.118
"1985-12",4.596,4.665,4.423,0.897,NA,0.38,3.363,1.634,2.484
"1986-01",6.274,6.95,4.457,1.412,NA,0.775,1.37,1.863,2.387
"1986-02",4.188,8.503,3.961,0.915,NA,0.524,1.632,2.113,2.673
"1986-03",3.752,11.28,3.25,2.951,NA,0.735,1.895,2.221,2.693
"1986-04",3.685,6.149,2.02,4.652,NA,0.659,1.869,2.343,2.652
"1986-05",5.792,2.672,3.386,3.318,NA,1.848,1.154,2.468,2.708
"1986-06",10.051,3.674,3.295,1.003,NA,3.134,1.328,2.341,2.846
"1986-07",9.47,3.674,2.834,0.554,NA,2.797,1.438,2.657,2.948
"1986-08",8.821,4.239,2.968,0.288,NA,1.634,1.356,2.118,2.722
"1986-09",7.578,4.542,0.986,0.321,NA,1.125,1.178,1.87,2.314
"1986-10",8.084,4.767,0.973,0.248,NA,0.47,2.067,1.654,2.142
"1986-11",7.5,6.392,3.248,0.351,NA,0.434,3.066,1.823,2.51
