#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-ARC
#Experiment: rcp45
#Model: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"2006-01",1.979,1.394,0.55,3.294,NA,0.698,NA,NA,1.384,0.716,1.4
"2006-02",1.864,1.253,0.372,2.271,NA,0.608,NA,NA,0.974,0.682,1.181
"2006-03",1.07,1.394,0.394,2.554,NA,0.45,NA,NA,1.824,0.614,1.064
"2006-04",1.427,0.562,0.318,1.273,NA,0.582,NA,NA,0.906,0.414,0.789
"2006-05",1.769,0.806,0.385,0.91,NA,0.411,NA,NA,1.308,0.416,0.771
"2006-06",1.375,0.962,0.428,1.792,NA,0.786,NA,NA,2.446,0.576,0.985
"2006-07",1.625,0.963,0.864,1.699,NA,1.896,NA,NA,1.758,1.515,1.613
"2006-08",1.306,2.15,0.856,2.558,NA,1.486,NA,NA,3.378,1.499,1.642
"2006-09",1.781,2.191,1.457,2.268,NA,1.206,NA,NA,1.77,1.235,1.705
"2006-10",2.435,2.325,1.396,3.19,NA,1.222,NA,NA,1.441,1.276,1.769
"2006-11",2.88,2.39,0.632,3.671,NA,1.124,NA,NA,1.261,1.09,1.874
"2006-12",2.228,1.279,0.71,2.738,NA,0.785,NA,NA,1.756,0.812,1.436
"2007-01",1.886,1.521,0.594,3.643,NA,0.689,NA,NA,1.425,0.811,1.499
"2007-02",2.108,0.767,0.508,3.096,NA,0.481,NA,NA,0.958,0.613,1.219
"2007-03",1.565,0.842,0.501,2.955,NA,0.496,NA,NA,1.181,0.651,1.1
"2007-04",1.588,0.925,0.481,1.356,NA,0.469,NA,NA,1.678,0.454,0.857
"2007-05",1.487,1.007,0.228,1.54,NA,0.575,NA,NA,2.236,0.517,0.952
"2007-06",1.607,1.062,0.72,1.213,NA,0.972,NA,NA,3.126,0.621,1.037
"2007-07",1.429,2.105,0.947,1.377,NA,1.332,NA,NA,1.002,1.087,1.364
"2007-08",1.741,1.319,0.957,1.777,NA,1.316,NA,NA,2.545,1.302,1.57
"2007-09",2.034,2.58,1.046,2.641,NA,1.122,NA,NA,2.627,1.197,1.678
"2007-10",3.277,1.921,0.589,3.214,NA,1.294,NA,NA,0.838,1.224,1.907
"2007-11",2.721,1.903,0.801,2.701,NA,1.296,NA,NA,0.959,1.106,1.727
"2007-12",1.685,1.038,0.661,2.171,NA,0.668,NA,NA,1.612,0.712,1.113
"2008-01",1.704,1.618,0.72,3.642,NA,0.589,NA,NA,1.209,0.608,1.336
"2008-02",1.789,0.75,0.443,3.802,NA,0.462,NA,NA,1.342,0.676,1.263
"2008-03",2.014,0.899,0.438,2.624,NA,0.37,NA,NA,1.345,0.574,1.106
"2008-04",1.563,0.463,0.534,1.858,NA,0.494,NA,NA,1.973,0.408,0.863
"2008-05",0.761,1.236,0.52,1.49,NA,0.881,NA,NA,1.672,0.657,0.931
"2008-06",1.269,0.898,0.555,1.438,NA,1.052,NA,NA,0.393,0.959,1.113
"2008-07",1.914,1.656,0.781,2.206,NA,1.408,NA,NA,2.799,1.111,1.522
"2008-08",1.457,2.576,1.338,1.816,NA,1.678,NA,NA,3.851,1.411,1.725
"2008-09",1.771,2.545,1.202,2.26,NA,1.324,NA,NA,1.783,1.384,1.716
"2008-10",2.822,2.279,1.5,4.043,NA,1.089,NA,NA,0.612,0.982,1.783
"2008-11",3.235,1.486,0.386,2.402,NA,1.265,NA,NA,0.912,0.881,1.581
"2008-12",3.125,1.93,0.309,3.507,NA,0.462,NA,NA,1.671,0.588,1.482
"2009-01",2.447,1.186,0.715,3.164,NA,0.657,NA,NA,1.849,0.77,1.411
"2009-02",1.707,0.911,0.417,2.101,NA,0.516,NA,NA,1.08,0.512,1.045
"2009-03",0.988,0.808,0.51,2.58,NA,0.616,NA,NA,1.064,0.682,0.997
"2009-04",1.122,0.644,0.597,1.462,NA,0.545,NA,NA,0.77,0.607,0.845
"2009-05",1.692,0.688,0.345,1.586,NA,0.446,NA,NA,1.752,0.395,0.863
"2009-06",1.606,1.216,0.552,1.422,NA,0.94,NA,NA,1.526,0.963,1.195
"2009-07",1.62,1.929,1.543,1.889,NA,1.004,NA,NA,3.105,1.197,1.438
"2009-08",1.429,2.584,1.171,1.996,NA,1.483,NA,NA,5.846,1.577,1.788
"2009-09",1.948,2.606,1.373,1.794,NA,1.098,NA,NA,4.552,0.871,1.506
"2009-10",2.485,2.163,1.038,2.769,NA,1.445,NA,NA,1.728,1.373,1.823
"2009-11",1.707,1.727,0.696,3.111,NA,1.442,NA,NA,0.94,0.906,1.514
"2009-12",1.259,1.791,0.926,2.408,NA,0.594,NA,NA,1.448,0.559,1.089
"2010-01",2.604,2.053,0.474,2.482,NA,0.7,NA,NA,1.376,0.758,1.438
"2010-02",1.859,1.752,0.62,2.872,NA,0.49,NA,NA,1.369,0.605,1.23
"2010-03",1.47,1.346,0.404,1.991,NA,0.488,NA,NA,0.993,0.62,1.04
"2010-04",1.404,1.701,0.348,1.202,NA,0.583,NA,NA,0.649,0.65,0.984
"2010-05",1.508,1.205,0.377,2.269,NA,0.582,NA,NA,3.268,0.419,0.985
"2010-06",0.975,1.054,0.44,1.463,NA,0.951,NA,NA,2.476,0.911,1.058
"2010-07",1.116,1.221,0.991,2.915,NA,2.158,NA,NA,0.387,1.483,1.664
"2010-08",1.891,1.834,0.648,2.529,NA,1.556,NA,NA,3.517,1.739,1.803
"2010-09",2.583,2.783,1.109,2.325,NA,1.334,NA,NA,2.054,1.143,1.816
"2010-10",2.314,1.75,0.972,3.126,NA,1.293,NA,NA,2.311,1.138,1.764
"2010-11",2.015,2.045,0.626,2.115,NA,1.098,NA,NA,1.507,0.741,1.402
"2010-12",2.516,1.639,0.482,2.249,NA,0.77,NA,NA,1.47,0.62,1.379
"2011-01",2.168,1.655,0.533,3.17,NA,0.496,NA,NA,1.562,0.539,1.337
"2011-02",2.004,1.51,0.5,3.103,NA,0.468,NA,NA,1.029,0.478,1.221
"2011-03",1.895,1.539,0.552,3.04,NA,0.518,NA,NA,0.619,0.544,1.203
"2011-04",1.96,0.97,0.32,2.542,NA,0.589,NA,NA,0.456,0.521,1.098
"2011-05",1.862,1.209,0.348,1.596,NA,0.386,NA,NA,0.802,0.568,0.958
"2011-06",1.474,1.176,0.656,1.625,NA,1.095,NA,NA,1.387,0.847,1.154
"2011-07",0.985,1.856,1.399,1.057,NA,1.433,NA,NA,2.758,1.252,1.339
"2011-08",1.331,2.151,1.331,2.453,NA,1.409,NA,NA,0.688,1.338,1.559
"2011-09",2.44,3.354,1.589,2.569,NA,1.19,NA,NA,2.787,1.347,1.922
"2011-10",2.623,1.594,0.996,3.621,NA,1.257,NA,NA,0.489,1.191,1.762
"2011-11",1.854,1.567,0.726,3.381,NA,1.227,NA,NA,1.333,0.868,1.477
"2011-12",1.858,1.976,0.637,3.454,NA,0.792,NA,NA,1.163,0.692,1.41
"2012-01",1.915,1.157,0.598,3.226,NA,0.381,NA,NA,2.021,0.451,1.181
"2012-02",2.703,1.612,0.509,2.537,NA,0.422,NA,NA,1.652,0.493,1.245
"2012-03",2.221,1.178,0.439,3.071,NA,0.51,NA,NA,1.033,0.724,1.324
"2012-04",2.022,0.943,0.466,2.818,NA,0.834,NA,NA,0.943,0.719,1.266
"2012-05",1.691,1.319,0.329,1.047,NA,0.698,NA,NA,1.243,0.4,0.885
"2012-06",1.461,1.487,0.518,1.413,NA,0.734,NA,NA,1.504,0.493,0.906
"2012-07",1.268,1.948,1.346,1.389,NA,1.611,NA,NA,1.14,1.324,1.448
"2012-08",1.922,1.789,1.779,2.034,NA,1.511,NA,NA,5.219,1.51,1.745
"2012-09",2.215,1.87,1.119,2.254,NA,1.059,NA,NA,4.889,1.327,1.661
"2012-10",2.479,1.971,1.157,2.456,NA,1.132,NA,NA,1.501,1.169,1.677
"2012-11",1.813,1.809,1.049,3.197,NA,1.114,NA,NA,1.206,0.805,1.452
"2012-12",1.719,1.666,0.536,3.607,NA,0.649,NA,NA,1.255,0.615,1.317
"2013-01",2.034,1.172,0.551,2.866,NA,0.65,NA,NA,1.352,0.617,1.27
"2013-02",2.295,1.436,0.501,2.812,NA,0.463,NA,NA,1.135,0.664,1.302
"2013-03",1.841,1.533,0.505,3.403,NA,0.72,NA,NA,0.579,0.758,1.373
"2013-04",1.184,0.759,0.904,1.578,NA,0.437,NA,NA,0.649,0.51,0.839
"2013-05",1.635,0.79,0.352,1.716,NA,0.563,NA,NA,1.416,0.559,0.961
"2013-06",1.346,1.02,0.752,1.235,NA,1.588,NA,NA,4.826,0.762,1.166
"2013-07",1.597,1.233,0.783,2.229,NA,1.381,NA,NA,2.119,1.256,1.465
"2013-08",1.3,2.351,1.042,1.874,NA,1.69,NA,NA,1.63,1.41,1.606
"2013-09",1.701,2.914,1.252,3.174,NA,1.36,NA,NA,1.69,1.195,1.711
"2013-10",2.275,2.234,0.85,2.992,NA,1.121,NA,NA,2.061,1.038,1.657
"2013-11",2.282,1.314,0.735,3.893,NA,1.17,NA,NA,2.444,0.899,1.629
"2013-12",1.89,1.39,0.632,2.844,NA,0.694,NA,NA,1.59,0.534,1.246
"2014-01",2.3,1.536,0.58,3.024,NA,0.441,NA,NA,1.96,0.462,1.298
"2014-02",1.853,1.042,0.344,2.362,NA,0.532,NA,NA,2.43,0.524,1.121
"2014-03",1.989,0.538,0.509,2.733,NA,0.803,NA,NA,1.816,0.645,1.181
"2014-04",2.103,0.81,0.232,1.433,NA,0.559,NA,NA,0.468,0.483,0.929
"2014-05",1.501,0.79,0.679,1.984,NA,0.923,NA,NA,1.238,0.867,1.119
"2014-06",0.625,1.063,0.756,1.616,NA,1.292,NA,NA,0.809,1.066,1.09
"2014-07",1.195,1.953,1.213,1.585,NA,1.458,NA,NA,1.986,1.319,1.427
"2014-08",1.746,1.844,1.622,2.741,NA,1.447,NA,NA,3.709,1.33,1.715
"2014-09",2.924,2.251,1.258,2.391,NA,1.553,NA,NA,2.561,1.347,1.93
"2014-10",3.282,2.052,0.664,2.16,NA,1.217,NA,NA,1.648,1.163,1.731
"2014-11",2.647,1.761,0.447,2.702,NA,1.148,NA,NA,1.544,0.977,1.638
"2014-12",1.913,1.603,0.502,3.154,NA,0.74,NA,NA,1.17,0.612,1.329
"2015-01",2.313,1.381,0.582,3.318,NA,0.513,NA,NA,1.638,0.635,1.426
"2015-02",2.08,2.454,0.42,2.889,NA,0.832,NA,NA,1.302,0.769,1.426
"2015-03",1.359,0.96,0.74,2.932,NA,0.618,NA,NA,1.371,0.632,1.124
