#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM5-0-2_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"1977-02",NA,NA,2.436,0.009,1.004,NA,0.03,1.72
"1977-03",NA,NA,1.691,0.217,1.121,NA,0.201,1.883
"1977-04",NA,NA,3.536,0.53,1.882,NA,2.089,3.128
"1977-05",NA,NA,3.388,0.326,7.868,NA,0.329,4.819
"1977-06",NA,NA,6.908,2.69,5.867,NA,1.864,5.623
"1977-07",NA,NA,4.855,7.605,5.633,NA,3.654,5.652
"1977-08",NA,NA,5.974,14.33,7.543,NA,8.582,6.951
"1977-09",NA,NA,4.393,4.693,11.862,NA,1.691,6.86
"1977-10",NA,NA,3.396,3.262,6.76,NA,7.898,5.719
"1977-11",NA,NA,0.987,0.441,4.095,NA,0.931,3.482
"1977-12",NA,NA,1.796,0.257,3.649,NA,0.265,2.339
"1978-01",NA,NA,1.957,0.091,2.282,NA,0.034,2.005
"1978-02",NA,NA,1.388,0.007,1.717,NA,0.01,1.338
"1978-03",NA,NA,2.269,0.038,0.399,NA,0.078,1.37
"1978-04",NA,NA,2.826,0.187,0.253,NA,0.146,1.574
"1978-05",NA,NA,4.307,0.193,0.786,NA,0.033,1.69
"1978-06",NA,NA,4.208,1.084,3.315,NA,0.368,3.815
"1978-07",NA,NA,6.177,1.371,3.298,NA,0.214,4.008
"1978-08",NA,NA,3.491,2.497,3.757,NA,0.648,4.568
"1978-09",NA,NA,5.158,3.192,5.89,NA,3.745,6.297
"1978-10",NA,NA,2.66,1.25,3.439,NA,2.054,3.507
"1978-11",NA,NA,2.956,1.362,2.665,NA,1.081,2.97
"1978-12",NA,NA,1.833,0.044,3.37,NA,0.114,2.49
"1979-01",NA,NA,2.29,0.13,1.541,NA,0.551,2.048
"1979-02",NA,NA,1.557,0.087,0.408,NA,0.139,1.303
"1979-03",NA,NA,2.376,0.036,0.217,NA,0.027,1.358
"1979-04",NA,NA,2.813,0.313,1.157,NA,0.342,2.294
"1979-05",NA,NA,3.723,0.491,4.794,NA,0.84,3.722
"1979-06",NA,NA,5.414,1.795,6.851,NA,1.835,5.723
"1979-07",NA,NA,3.365,2.154,3.444,NA,0.41,3.991
"1979-08",NA,NA,3.412,8.004,6.669,NA,8.374,6.226
"1979-09",NA,NA,5.378,6.417,5.564,NA,4.784,5.469
"1979-10",NA,NA,1.798,1.95,2.896,NA,2.199,4.11
"1979-11",NA,NA,2.354,0.697,2.993,NA,0.962,3.343
"1979-12",NA,NA,2.1,0.402,1.456,NA,0.103,1.777
"1980-01",NA,NA,1.108,0.408,1.36,NA,0.139,1.334
"1980-02",NA,NA,2.062,0.006,0.948,NA,0.001,1.723
"1980-03",NA,NA,2.287,0.827,0.323,NA,0.34,1.626
"1980-04",NA,NA,1.986,0.029,0.199,NA,0.005,1.7
"1980-05",NA,NA,4.073,0.142,4.93,NA,0.392,4.102
"1980-06",NA,NA,5.798,6.602,8.515,NA,4.533,6.616
"1980-07",NA,NA,4.16,1.581,9.531,NA,1.757,6.716
"1980-08",NA,NA,4.772,5.558,9.223,NA,3.322,6.878
"1980-09",NA,NA,6.809,2.633,6.909,NA,2.413,6.09
"1980-10",NA,NA,3.778,0.975,4.186,NA,0.581,4.051
"1980-11",NA,NA,2.66,0.338,4.428,NA,0.202,3.023
"1980-12",NA,NA,1.951,0.388,2.867,NA,0.09,2.438
"1981-01",NA,NA,1.983,0.024,0.964,NA,0.023,1.385
"1981-02",NA,NA,1.527,0.135,0.786,NA,0.064,1.025
"1981-03",NA,NA,2.775,0.024,0.425,NA,0.007,1.347
"1981-04",NA,NA,2.618,0.024,0.878,NA,0.017,1.561
"1981-05",NA,NA,4.226,0.928,3.173,NA,0.619,3.11
"1981-06",NA,NA,5.258,2.635,2.671,NA,1.153,4.377
"1981-07",NA,NA,4.171,2.403,3.214,NA,1.13,4.1
"1981-08",NA,NA,6.229,4.761,3.594,NA,2.631,5.554
"1981-09",NA,NA,5.962,4.175,3.978,NA,1.188,4.239
"1981-10",NA,NA,2.529,2.182,5.055,NA,3.958,4.601
"1981-11",NA,NA,2.354,1.719,4.574,NA,1.98,3.771
"1981-12",NA,NA,1.441,0.218,3.912,NA,0.259,2.606
"1982-01",NA,NA,1.212,0.008,1.059,NA,0.112,1.345
"1982-02",NA,NA,1.402,0.038,0.377,NA,0.131,1.422
"1982-03",NA,NA,1.842,0.145,0.377,NA,0.46,2.039
"1982-04",NA,NA,2.866,0.507,1.906,NA,5.179,3.427
"1982-05",NA,NA,4.881,0.63,5.116,NA,0.868,3.85
"1982-06",NA,NA,6.866,3.04,7.841,NA,2.986,5.51
"1982-07",NA,NA,8.992,4.701,7.213,NA,2.427,5.925
"1982-08",NA,NA,5.912,9.203,10.066,NA,6.928,7.496
"1982-09",NA,NA,8.972,12.277,7.883,NA,6.115,7.424
"1982-10",NA,NA,2.154,1.202,2.408,NA,1.803,4.617
"1982-11",NA,NA,2.073,0.463,2.755,NA,0.325,2.743
"1982-12",NA,NA,1.379,0.022,3.118,NA,0.006,2.247
"1983-01",NA,NA,1.603,0.001,0.621,NA,0.038,1.098
"1983-02",NA,NA,1.749,0.001,0.186,NA,0.091,1.393
"1983-03",NA,NA,2.028,0.037,0.642,NA,0.039,1.48
"1983-04",NA,NA,3.617,0.088,0.998,NA,0.257,2.241
"1983-05",NA,NA,4.707,0.131,4.361,NA,0.526,3.394
"1983-06",NA,NA,6.201,3.212,7.88,NA,2.313,5.852
"1983-07",NA,NA,7.995,4.297,6.369,NA,2.683,6.769
"1983-08",NA,NA,7.521,4.852,4.962,NA,2.347,5.681
"1983-09",NA,NA,5.045,1.71,4.317,NA,1.217,4.922
"1983-10",NA,NA,2.966,1.612,4.34,NA,2.883,4.523
"1983-11",NA,NA,3.743,1.608,2.121,NA,0.536,3.179
"1983-12",NA,NA,2.181,0.143,1.24,NA,0.085,1.777
"1984-01",NA,NA,1.131,0.009,0.275,NA,0.049,1.175
"1984-02",NA,NA,2.43,0.167,0.192,NA,0.031,1.191
"1984-03",NA,NA,2.808,0.007,0.077,NA,0.007,1.36
"1984-04",NA,NA,2.338,0.066,0.428,NA,0.49,2.053
"1984-05",NA,NA,4.124,0.42,1.391,NA,0.169,2.672
"1984-06",NA,NA,4.577,2.348,6.186,NA,1.441,4.302
"1984-07",NA,NA,4.253,2.093,5.191,NA,0.6,4.034
"1984-08",NA,NA,4.523,6.855,6.677,NA,3.757,5.829
"1984-09",NA,NA,4.015,4.116,4.718,NA,3.439,5.209
"1984-10",NA,NA,2.197,1.595,5.303,NA,2.344,4.818
"1984-11",NA,NA,2.59,0.493,6.562,NA,1.522,3.961
"1984-12",NA,NA,2.299,0.025,2.94,NA,0.065,2.238
"1985-01",NA,NA,1.035,0.315,1.733,NA,0.342,1.836
"1985-02",NA,NA,1.186,0.009,0.904,NA,0.114,1.479
"1985-03",NA,NA,2.336,0.066,0.424,NA,0.312,1.596
"1985-04",NA,NA,3.134,0.534,0.927,NA,1.236,2.284
"1985-05",NA,NA,4.137,0.01,4.139,NA,0.175,3.454
"1985-06",NA,NA,5.43,3.238,7.241,NA,0.636,4.974
"1985-07",NA,NA,5.514,9.909,9.378,NA,5.251,6.821
"1985-08",NA,NA,5.764,5.873,6.594,NA,8.317,7.195
"1985-09",NA,NA,5.901,3.205,7.403,NA,2.589,5.617
"1985-10",NA,NA,3.915,1.581,3.696,NA,3.288,4.76
"1985-11",NA,NA,2.684,0.111,4.399,NA,0.013,3.365
"1985-12",NA,NA,2.23,0.414,1.431,NA,0.334,2.217
"1986-01",NA,NA,2.162,0.141,0.655,NA,0.032,1.527
"1986-02",NA,NA,2.084,0.14,0.223,NA,0.078,1.134
"1986-03",NA,NA,2.708,0.464,0.327,NA,0.219,1.553
"1986-04",NA,NA,2.98,0.11,0.7,NA,0.238,1.793
"1986-05",NA,NA,4.279,0.161,2.683,NA,0.04,2.508
"1986-06",NA,NA,6.358,2.676,7.547,NA,2.364,4.926
"1986-07",NA,NA,3.164,3.621,6.863,NA,1.312,4.967
"1986-08",NA,NA,3.61,2.952,5.82,NA,1.538,5.159
"1986-09",NA,NA,4.629,4.618,8.236,NA,3.458,6.354
"1986-10",NA,NA,3.2,2.629,3.627,NA,3.193,4.499
"1986-11",NA,NA,1.633,0.482,2.817,NA,0.722,3.21
"1986-12",NA,NA,2.349,0.132,3.362,NA,0.102,2.398
"1987-01",NA,NA,1.802,0.1,1.647,NA,0.061,1.933
"1987-02",NA,NA,1.674,0.01,1.559,NA,0.193,1.632
"1987-03",NA,NA,3.289,0.211,0.667,NA,0.126,2.018
"1987-04",NA,NA,2.665,0.163,2.037,NA,1.457,2.829
"1987-05",NA,NA,3.019,1.409,3.675,NA,0.391,3.154
"1987-06",NA,NA,3.732,1.54,3.235,NA,0.819,3.576
"1987-07",NA,NA,5.877,2.086,6.962,NA,0.632,5.115
"1987-08",NA,NA,3.288,3.745,5.162,NA,1.352,5.428
"1987-09",NA,NA,4.458,6.976,5.113,NA,4.693,5.539
"1987-10",NA,NA,3.104,0.545,4.163,NA,0.592,3.981
"1987-11",NA,NA,1.832,0.463,1.292,NA,0.691,2.197
"1987-12",NA,NA,2.911,0.503,1.409,NA,0.168,2.227
"1988-01",NA,NA,1.15,0.159,1.237,NA,0.065,1.225
"1988-02",NA,NA,1.635,0.085,0.239,NA,0.006,1.246
"1988-03",NA,NA,2.06,0.112,0.584,NA,0.09,1.617
"1988-04",NA,NA,4.222,0.109,1.096,NA,0.713,2.232
"1988-05",NA,NA,3.889,0.092,3.14,NA,0.157,3.186
"1988-06",NA,NA,6.427,7.015,7.888,NA,6.316,5.782
"1988-07",NA,NA,8.093,7.049,9.636,NA,6.435,7.333
"1988-08",NA,NA,3.477,9.013,3.169,NA,4.561,4.619
"1988-09",NA,NA,3.833,8.176,8.744,NA,8.913,7.755
"1988-10",NA,NA,3.613,0.964,4.262,NA,1.134,3.67
"1988-11",NA,NA,2.25,0.953,3.408,NA,1.619,3.505
"1988-12",NA,NA,1.038,1.086,2.102,NA,1.389,2.303
"1989-01",NA,NA,1.634,0.015,2.553,NA,0.126,1.988
"1989-02",NA,NA,0.964,0.047,0.804,NA,0.035,1.344
"1989-03",NA,NA,2.36,0.037,0.342,NA,0.054,1.982
"1989-04",NA,NA,2.836,0.199,0.786,NA,1.877,2.508
"1989-05",NA,NA,3.027,0.78,1.544,NA,0.159,2.484
"1989-06",NA,NA,5.054,1.149,3.225,NA,1.055,4.339
"1989-07",NA,NA,4.36,2.644,4.577,NA,2.932,4.756
"1989-08",NA,NA,6.311,6.423,5.407,NA,3.799,6.509
"1989-09",NA,NA,5.22,1.371,3.313,NA,1.169,4.464
"1989-10",NA,NA,2.914,2.126,4.49,NA,5.716,4.944
"1989-11",NA,NA,2.958,0.895,4.72,NA,1.207,3.821
"1989-12",NA,NA,1.983,0.019,3.504,NA,0.027,2.446
"1990-01",NA,NA,1.088,0.153,0.708,NA,0.201,1.238
"1990-02",NA,NA,1.608,0.092,0.063,NA,0.06,1.058
"1990-03",NA,NA,1.972,0.019,0.344,NA,0.248,1.243
"1990-04",NA,NA,2.62,0.204,1.029,NA,0.337,1.892
"1990-05",NA,NA,3.585,0.043,2.732,NA,0.166,2.562
"1990-06",NA,NA,5.002,1.933,2.351,NA,1.212,3.909
"1990-07",NA,NA,5.202,2.377,6.325,NA,2.016,5.15
"1990-08",NA,NA,4.994,2.314,3.375,NA,1.343,4.586
"1990-09",NA,NA,3.459,3.731,5.869,NA,1.547,5.242
"1990-10",NA,NA,2.781,3.49,5.063,NA,4.279,4.268
"1990-11",NA,NA,2.401,1.529,3.394,NA,5.666,3.825
"1990-12",NA,NA,1.293,0.112,3.207,NA,0.62,2.758
"1991-01",NA,NA,2.274,0.077,1.569,NA,0.039,1.958
"1991-02",NA,NA,1.56,0.026,0.877,NA,0.147,1.458
"1991-03",NA,NA,2.814,0.163,0.272,NA,0.102,1.912
"1991-04",NA,NA,1.904,0.102,0.925,NA,0.071,1.79
"1991-05",NA,NA,3.821,0.054,2.038,NA,0.318,2.941
"1991-06",NA,NA,7.041,1.837,6.948,NA,1.201,5.274
"1991-07",NA,NA,5.526,5.314,6.795,NA,3.203,6.522
"1991-08",NA,NA,9.678,12.942,8.176,NA,7.186,8.141
"1991-09",NA,NA,4.114,1.858,6.607,NA,2.941,5.717
"1991-10",NA,NA,2.317,1.847,3.047,NA,3.598,4.381
"1991-11",NA,NA,2.896,0.683,2.105,NA,1.919,3.554
"1991-12",NA,NA,2.141,0.226,3.301,NA,0.135,2.485
"1992-01",NA,NA,1.687,0.194,2.109,NA,0.199,1.916
"1992-02",NA,NA,0.787,0.134,0.743,NA,0.026,1.32
"1992-03",NA,NA,2.072,0.054,0.943,NA,0.171,1.446
"1992-04",NA,NA,2.736,0.209,1.517,NA,0.416,2.275
"1992-05",NA,NA,4.764,0.082,0.78,NA,0.009,2.27
"1992-06",NA,NA,4.144,0.667,2.928,NA,0.68,3.46
"1992-07",NA,NA,3.791,8.27,6.971,NA,3.497,5.389
"1992-08",NA,NA,6.838,16.062,7.301,NA,11.734,8.103
"1992-09",NA,NA,4.937,5.014,7.527,NA,3.414,6.95
"1992-10",NA,NA,3.059,1.196,3.717,NA,1.563,4.477
