#Dataset: IPSL-IPSL-CM5A-LR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"1987-12",2.884,1.906
"1988-01",3.169,1.924
"1988-02",3.172,2.057
"1988-03",2.939,2.347
"1988-04",2.496,1.88
"1988-05",2.012,1.414
"1988-06",1.518,1.166
"1988-07",1.536,1.368
"1988-08",1.591,1.218
"1988-09",1.95,1.446
"1988-10",2.522,1.886
"1988-11",3.03,2.811
"1988-12",3.109,2.425
"1989-01",3.379,2.693
"1989-02",3.178,2.442
"1989-03",3.007,2.002
"1989-04",2.536,1.817
"1989-05",2.169,1.59
"1989-06",1.684,1.241
"1989-07",1.498,1.213
"1989-08",1.454,1.141
"1989-09",1.695,1.247
"1989-10",2.374,1.711
"1989-11",2.734,2.019
"1989-12",3.234,2.831
"1990-01",3.046,2.236
"1990-02",2.769,2.038
"1990-03",2.737,2.045
"1990-04",2.571,1.809
"1990-05",1.964,1.538
"1990-06",1.597,1.254
"1990-07",1.419,1.26
"1990-08",1.494,1.204
"1990-09",1.771,1.294
"1990-10",2.194,1.679
"1990-11",2.585,1.786
"1990-12",2.746,1.937
"1991-01",3.011,2.121
"1991-02",2.72,2.177
"1991-03",2.638,1.851
"1991-04",2.213,1.706
"1991-05",1.897,1.468
"1991-06",1.698,1.356
"1991-07",1.507,1.142
"1991-08",1.466,1.113
"1991-09",1.825,1.291
"1991-10",2.212,1.723
"1991-11",3.072,2.791
"1991-12",2.792,1.998
"1992-01",3.019,2.868
"1992-02",3.704,3.089
"1992-03",2.687,1.822
"1992-04",2.347,1.628
"1992-05",2.086,1.512
"1992-06",1.797,1.253
"1992-07",1.63,1.148
"1992-08",1.51,1.142
"1992-09",1.818,1.374
"1992-10",2.187,1.875
"1992-11",2.943,2.448
"1992-12",2.916,2.22
"1993-01",3.128,2.22
"1993-02",2.949,2.042
"1993-03",3.249,2.02
"1993-04",2.716,1.947
"1993-05",2.36,1.637
"1993-06",2.001,1.384
"1993-07",1.467,1.139
"1993-08",1.464,1.235
"1993-09",2.211,1.522
"1993-10",2.299,1.81
"1993-11",2.239,1.723
"1993-12",2.55,1.999
"1994-01",3.326,2.264
"1994-02",3.494,2.549
"1994-03",2.94,1.843
"1994-04",2.719,1.9
"1994-05",2.232,1.622
"1994-06",1.915,1.286
"1994-07",1.512,1.07
"1994-08",1.494,1.147
"1994-09",1.736,1.307
"1994-10",2.376,1.89
"1994-11",2.381,1.684
"1994-12",2.72,1.94
"1995-01",3.152,2.36
"1995-02",2.411,1.995
"1995-03",2.611,2.044
"1995-04",2.107,1.632
"1995-05",2.097,1.698
"1995-06",1.561,1.229
"1995-07",1.669,1.302
"1995-08",1.502,1.151
"1995-09",1.829,1.368
"1995-10",2.37,1.771
"1995-11",2.488,1.838
"1995-12",2.862,2.295
"1996-01",3.344,2.349
"1996-02",3.081,2.127
"1996-03",2.759,2.401
"1996-04",2.324,1.91
"1996-05",2.074,1.598
"1996-06",1.751,1.625
"1996-07",1.446,1.091
"1996-08",1.546,1.049
"1996-09",1.738,1.188
"1996-10",2.185,1.656
"1996-11",2.436,2.068
"1996-12",3.364,3.274
"1997-01",3.735,2.827
"1997-02",3.025,2.154
"1997-03",2.728,1.824
"1997-04",2.755,2.137
"1997-05",2.472,1.943
"1997-06",2.1,1.503
"1997-07",1.699,1.371
"1997-08",1.814,1.325
"1997-09",1.962,1.299
"1997-10",2.402,1.78
"1997-11",2.427,1.833
"1997-12",3.165,2.415
"1998-01",3.356,2.04
"1998-02",3.23,2.416
"1998-03",2.802,2.182
"1998-04",2.498,1.697
"1998-05",2.373,2.113
"1998-06",1.973,1.516
"1998-07",1.599,1.253
"1998-08",1.369,1.084
"1998-09",1.704,1.3
"1998-10",2.091,1.617
"1998-11",2.378,1.965
"1998-12",3.017,2.398
"1999-01",3.324,2.933
"1999-02",3.013,2.639
"1999-03",2.762,2.1
"1999-04",2.165,1.887
"1999-05",1.922,1.603
"1999-06",1.766,1.424
"1999-07",1.345,1.15
"1999-08",1.542,1.144
"1999-09",2.174,1.558
"1999-10",2.255,1.761
"1999-11",2.786,2.566
"1999-12",3.01,2.456
"2000-01",3.179,2.265
"2000-02",3.997,2.719
"2000-03",3.254,2.423
"2000-04",2.675,1.884
"2000-05",2.192,1.643
"2000-06",1.825,1.231
"2000-07",1.311,1.046
"2000-08",1.42,1.185
"2000-09",1.752,1.333
"2000-10",2.355,1.656
"2000-11",2.649,2.063
"2000-12",2.67,1.957
"2001-01",3.993,2.553
"2001-02",3.301,1.886
"2001-03",2.857,2.059
"2001-04",2.59,1.874
"2001-05",2.062,1.447
"2001-06",1.602,1.226
"2001-07",1.518,1.142
"2001-08",1.407,1.041
"2001-09",1.931,1.36
"2001-10",2.288,1.671
"2001-11",2.645,1.804
"2001-12",2.768,2.181
"2002-01",3.679,2.296
"2002-02",3.551,2.481
"2002-03",2.536,1.832
"2002-04",2.269,1.744
"2002-05",2.017,1.445
"2002-06",1.667,1.244
"2002-07",1.384,1.117
"2002-08",1.388,1.022
"2002-09",1.574,1.112
"2002-10",2.291,1.598
"2002-11",2.585,1.821
"2002-12",2.933,2.122
"2003-01",3.128,2.202
"2003-02",2.888,2.049
"2003-03",2.638,1.847
"2003-04",2.097,1.421
"2003-05",2.113,1.615
"2003-06",1.666,1.184
"2003-07",1.519,1.117
"2003-08",1.536,1.186
"2003-09",1.972,1.339
"2003-10",2.477,1.709
"2003-11",2.713,1.952
"2003-12",3.141,2.226
"2004-01",3.801,2.421
"2004-02",3.396,2.309
"2004-03",2.916,2.099
"2004-04",2.346,1.53
"2004-05",2.239,1.728
"2004-06",1.894,1.446
"2004-07",1.656,1.314
"2004-08",1.595,1.137
"2004-09",2.016,1.41
"2004-10",2.421,1.601
"2004-11",2.723,2.116
"2004-12",3.261,2.107
"2005-01",3.604,2.098
"2005-02",3.009,1.884
"2005-03",3.046,1.888
"2005-04",2.655,1.556
"2005-05",2.019,1.402
"2005-06",1.598,1.105
"2005-07",1.588,1.188
"2005-08",1.664,1.224
"2005-09",2.156,1.467
"2005-10",2.383,1.749
"2005-11",2.667,2.153
"2005-12",3.162,2.086
