dataset,prsn,sfcWind,tos,ph,siconc
CMIP6_NCAR_CESM2_ssp585_r4i1p1f1_SImon_gn,NA,NA,NA,NA,v20200528
CMIP6_NCC_NorESM2-LM_historical_r1i1p1f1_Amon_gn,v20190815,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-LM_historical_r1i1p1f1_Omon_gr,NA,NA,NA,v20190815,NA
CMIP6_NCC_NorESM2-LM_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20190815
CMIP6_NCC_NorESM2-LM_ssp126_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-LM_ssp126_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-LM_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-LM_ssp245_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-LM_ssp245_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-LM_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-LM_ssp370_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-LM_ssp370_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-LM_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-LM_ssp585_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-LM_ssp585_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-LM_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-MM_historical_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-MM_historical_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-MM_historical_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-MM_ssp126_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-MM_ssp126_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-MM_ssp126_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-MM_ssp245_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-MM_ssp245_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-MM_ssp245_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-MM_ssp370_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-MM_ssp370_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-MM_ssp370_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NCC_NorESM2-MM_ssp585_r1i1p1f1_Amon_gn,v20191108,v20191108,NA,NA,NA
CMIP6_NCC_NorESM2-MM_ssp585_r1i1p1f1_Omon_gr,NA,NA,NA,v20191108,NA
CMIP6_NCC_NorESM2-MM_ssp585_r1i1p1f1_SImon_gn,NA,NA,NA,NA,v20191108
CMIP6_NIMS-KMA_KACE-1-0-G_historical_r2i1p1f1_Amon_gr,v20190920,v20190920,NA,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_historical_r2i1p1f1_Omon_gr,NA,NA,v20200130,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp126_r2i1p1f1_Amon_gr,v20191007,v20191007,NA,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp126_r2i1p1f1_Omon_gr,NA,NA,v20200130,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp245_r2i1p1f1_Amon_gr,v20191125,v20191125,NA,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp245_r2i1p1f1_Omon_gr,NA,NA,v20200130,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp370_r2i1p1f1_Amon_gr,v20191128,v20191128,NA,NA,NA
CMIP6_NIMS-KMA_KACE-1-0-G_ssp370_r2i1p1f1_Omon_gr,NA,NA,v20200130,NA,NA
